rank,feature,gain,split_count
140,feature_bl_lag_21,1851076.0224609375,40
141,feature_bl_lag_28,1849035.2783203125,63
142,feature_af_lag_5,1818907.4877929688,35
143,feature_h_lag_21,1812320.701171875,62
144,feature_cg_rolling_std_7,1797292.4992675781,68
145,feature_am_lag_28,1792188.0131835938,52
146,feature_j_lag_21,1790732.7387695312,59
147,feature_cd_rolling_mean_3,1786735.1008300781,72
148,feature_r,1743561.37890625,56
149,feature_ad_lag_28,1740992.9897460938,71
150,feature_h,1739951.986328125,50
151,feature_bz_lag_21,1738277.0537109375,52
152,feature_cb_rolling_mean_3,1710272.06640625,47
153,feature_ce_rolling_mean_3,1683086.0793457031,66
154,feature_af,1674777.6457519531,81
155,feature_am_lag_21,1673169.5224609375,44
156,feature_cb_lag_1,1666729.0129394531,80
157,feature_i_lag_14,1662343.5727539062,64
158,feature_u_lag_3,1646905.6201171875,31
159,feature_n_lag_21,1638198.7614746094,60
160,feature_z_lag_21,1591234.7446289062,75
161,feature_ar_rolling_mean_3,1590394.015625,48
162,feature_ad_lag_21,1560036.5588378906,66
163,feature_bh,1546364.4287109375,56
164,feature_n,1544386.806640625,48
165,feature_l_lag_14,1530188.7998046875,35
166,feature_cc,1517757.6574707031,56
167,feature_by_lag_21,1506741.759765625,65
168,feature_bh_lag_28,1492878.1545410156,77
169,feature_aq_lag_3,1489183.28515625,40
170,feature_bd_lag_28,1485178.1330566406,72
171,feature_v_lag_3,1482594.287109375,43
172,feature_ao_lag_5,1477479.7060546875,25
173,feature_cd_lag_21,1473740.2172851562,66
174,feature_bg_lag_14,1471398.37890625,58
175,feature_cb_lag_3,1463023.9116210938,44
176,feature_bl,1456924.3630371094,39
177,feature_bn_rolling_std_7,1436782.2080078125,81
178,feature_aj_lag_28,1433413.2275390625,69
179,feature_as_lag_21,1432169.1411132812,61
180,feature_aj_lag_1,1431120.6196289062,54
181,feature_ao_rolling_mean_7,1411860.1674804688,22
182,feature_r_lag_28,1408818.4846191406,65
183,feature_j,1407434.1435546875,65
184,feature_z_lag_14,1406734.4090576172,70
185,feature_cd_rolling_mean_7,1406729.9301757812,72
186,feature_bg_rolling_mean_3,1405010.1884765625,53
187,feature_aj_lag_21,1400863.0307617188,63
188,feature_cc_lag_14,1399717.83984375,40
189,feature_af_lag_21,1396948.2514648438,51
190,feature_ah_lag_21,1380304.6613769531,68
191,feature_bg_rolling_mean_7,1378938.2788085938,55
192,feature_af_rolling_mean_7,1375977.5043945312,54
193,feature_ad,1365273.7766113281,48
194,feature_bh_rolling_std_7,1342647.0600585938,82
195,feature_ca_lag_21,1308361.1962890625,33
196,feature_bm_lag_28,1297877.0688476562,53
197,feature_bm_rolling_std_7,1281716.9135742188,28
198,feature_u_lag_28,1279725.4418945312,52
199,feature_ai_lag_5,1277982.8725585938,67
200,feature_l_rolling_mean_7,1272346.1286621094,48
